DateOfCall,FirstPumpArriving_AttendanceTime
05/06/2018,298.3230769
06/06/2018,328.893617
07/06/2018,305.6847826
08/06/2018,317.6895307
09/06/2018,309.2424242
10/06/2018,299.2113208
11/06/2018,317.5654952
12/06/2018,301.7635659
13/06/2018,330.9621212
14/06/2018,306.2243346
15/06/2018,310.01
16/06/2018,324.2742475
17/06/2018,301.6218487
18/06/2018,295.1516393
19/06/2018,308.1333333
20/06/2018,307.9270073
21/06/2018,339.7175325
22/06/2018,313.3714286
23/06/2018,330.3595506
24/06/2018,311.4849315
25/06/2018,332.3835616
26/06/2018,336.0469208
27/06/2018,337.7222222
28/06/2018,322.9906832
29/06/2018,320.4852071
30/06/2018,323.0339506
01/07/2018,300.2222222
02/07/2018,354.1491443
03/07/2018,342.9132791
04/07/2018,340.839779
05/07/2018,324.3169935
06/07/2018,328.1614583
07/07/2018,335.759901
08/07/2018,318.0193906
09/07/2018,323.1067961
10/07/2018,338.9803279
11/07/2018,330.5789474
12/07/2018,318.5948553
13/07/2018,374.4195251
14/07/2018,344.4613095
15/07/2018,356.9803922
16/07/2018,364.4159292
17/07/2018,330.1239193
18/07/2018,338.0228571
19/07/2018,326.4173669
20/07/2018,337.2903226
21/07/2018,325.2891892
22/07/2018,312.3435374
23/07/2018,342.1344538
24/07/2018,327.4085714
25/07/2018,322.2682927
26/07/2018,356.5392405
27/07/2018,344.4663212
28/07/2018,350.2477876
29/07/2018,330.011194
30/07/2018,309.5567766
31/07/2018,305.2752613
01/08/2018,319.4375
02/08/2018,306.0449827
03/08/2018,327.6569579
04/08/2018,326.0090361
05/08/2018,346.1274788
06/08/2018,325.6246246
07/08/2018,324.2993631
08/08/2018,310.4801325
09/08/2018,320.5703971
10/08/2018,303.1703704
11/08/2018,298.7379032
12/08/2018,302.3491379
13/08/2018,308.5873606
14/08/2018,312.8682171
15/08/2018,303.3549618
16/08/2018,311.4468864
17/08/2018,305.762963
18/08/2018,286.4770992
19/08/2018,302.0645161
20/08/2018,299.0551471
21/08/2018,305.4740741
22/08/2018,305.1899225
23/08/2018,305.137931
24/08/2018,309.9291339
25/08/2018,293.359589
26/08/2018,298.9900332
27/08/2018,297.892
28/08/2018,304.2862595
29/08/2018,289.1983806
30/08/2018,301.418251
31/08/2018,298.3649635
01/09/2018,309.732899
02/09/2018,302.7204301
03/09/2018,300.8616601
04/09/2018,310.5267176
05/09/2018,315.4732824
06/09/2018,301.8255814
07/09/2018,320.2607143
08/09/2018,312.1263941
09/09/2018,299.6240602
10/09/2018,297.526087
11/09/2018,303.0734266
12/09/2018,315.8726592
13/09/2018,325.5714286
14/09/2018,314.8464567
15/09/2018,295.734767
16/09/2018,314.1487603
17/09/2018,306.7889273
18/09/2018,305.7403101
19/09/2018,306.384127
20/09/2018,302.8303887
21/09/2018,309.7684564
